MARIS sample ID,Sample type,Laboratory,Latitude (decimal),Longitude (decimal),Station ID,Data provider's sample ID,MARIS Profile ID,MARIS Transect ID,Sampling depth (m),Total depth (m),Sampling start datetime,Sampling end datetime,Nuclide,Value type,Activity or MDA,Uncertainty,Unit,Variable type,Number of data points,Minimum value,Maximum value,Taxon name,Reported taxon name,Taxon rank,Biogroup,Taxon database URL,Body part,Top of core interval (cm),Bottom of core interval (cm),Sediment type,Reported sediment type,Sample volume (L),Salinity,Temperature [°C],Filtered,Mesh size (µm),Sample surface area (cm2),Dry weight (g),Wet weight (g),Dry/Wet (%),Sampling method,Preparation method,Drying method,Counting method,MARIS reference ID,Reference/Citation,Zotero URL,Reference note,Sample note,Measurement note
60889,"Seawater","Laboratory of Ion Beam Physics",73,25,"73","6590","","",100,,"1981-07-15 00:00:00","","137Cs","=",17.425068,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Casso Cruise: CIR. Unknown latitude and longitude seconds values set to zero.",""
63379,"Seawater","Laboratory of Ion Beam Physics",64,8,"189","9141","","",500,350,"1982-09-01 00:00:00","","137Cs","=",14,,"Bq/m3","",,,,"","","","","","",,,"","",,35.177,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
331885,"Seawater","Institute of Marine Research",71.325,22.484444444444446,"600","","","",0,,"2012-08-19 00:00:00","","137Cs","=",2.15287958670042,0.746342080846766,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.","https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK","","Updated: 2019-03-26T10:20:22.530. OSPAR ID: 61110; ","Updated: 2019-03-26T10:20:22.530. "
331516,"Seawater","Institute of Marine Research",67.13777777777779,11.386666666666667,"Norwegian Sea","","","",0,,"2004-08-27 00:00:00","","137Cs","=",1.3,0.12999999999999998,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.","https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK","","Updated: 2019-03-26T10:20:22.340. OSPAR ID: 74814; Representative coordinates","Updated: 2019-03-26T10:20:22.340. Estimated uncertainty"
63213,"Seawater","Laboratory of Ion Beam Physics",71,23,"62","8974","","",0,,"1979-09-01 00:00:00","","137Cs","=",55,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
66817,"Seawater","Laboratory of Ion Beam Physics",62,-0,"117","12745","","",0,,"1979-09-01 00:00:00","","137Cs","=",3.3,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
63912,"Seawater","Laboratory of Ion Beam Physics",67.5,5,"153","9749","","",0,,"1981-07-15 00:00:00","","137Cs","=",9.225036,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Casso Cruise: CIR. Unknown latitude and longitude seconds values set to zero.",""
331595,"Seawater","Norwegian Radiation Protection Authority",68.03333333333333,10.35,"St15/929 Nordland","","","",0,,"2000-11-02 00:00:00","","137Cs","=",3.7,0.37,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.","https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK","","Updated: 2019-03-26T10:20:22.380. OSPAR ID: 76263; ","Updated: 2019-03-26T10:20:22.380. "
331128,"Seawater","Endeavour 10/2004",61.04416666666666,2.7044444444444444,"Station 185","2004001476","","",3,,"2004-08-26 00:00:00","","137Cs","=",4.2,0.3864,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.","https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK","","Updated: 2019-03-26T10:20:22.143. OSPAR ID: 58227; ","Updated: 2019-03-26T10:20:22.143. "
66814,"Seawater","Laboratory of Ion Beam Physics",63,2,"111","12742","","",0,,"1979-09-01 00:00:00","","137Cs","=",23,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
